2017.09.10 19:52:59.293   Stuff found, idx:27
2017.09.10 19:52:59.660   Stuff found, idx:27
2017.09.10 19:53:00.122   Stuff found, idx:27
2017.09.10 19:53:00.461   Stuff found, idx:27
2017.09.10 19:53:00.824   Stuff found, idx:27
2017.09.10 19:53:01.210   Stuff found, idx:27
2017.09.10 19:53:01.577   Stuff found, idx:27
2017.09.10 19:53:01.959   Stuff found, idx:27
2017.09.10 19:53:02.327   Stuff found, idx:27
2017.09.10 19:53:02.710   Stuff found, idx:27
2017.09.10 19:53:03.077   Player found, idx:3
2017.09.10 19:53:03.078   Stuff found, idx:27
2017.09.10 19:53:03.460   Player found, idx:3
2017.09.10 19:53:03.461   Stuff found, idx:27
2017.09.10 19:53:03.827   Player found, idx:3
2017.09.10 19:53:03.827   Stuff found, idx:27
2017.09.10 19:53:04.210   Player found, idx:3
2017.09.10 19:53:04.210   Stuff found, idx:27
2017.09.10 19:53:04.577   Player found, idx:3
2017.09.10 19:53:04.577   Stuff found, idx:27
2017.09.10 19:53:04.960   Player found, idx:3
2017.09.10 19:53:04.960   Stuff found, idx:27
2017.09.10 19:53:05.326   Player found, idx:3
2017.09.10 19:53:05.327   Stuff found, idx:27
2017.09.10 19:53:05.711   Player found, idx:3
2017.09.10 19:53:05.711   Stuff found, idx:27
2017.09.10 19:53:06.077   Player found, idx:3
2017.09.10 19:53:06.078   Stuff found, idx:27
2017.09.10 19:53:06.461   Player found, idx:3
2017.09.10 19:53:06.462   Stuff found, idx:27
2017.09.10 19:53:06.938   Player found, idx:3
2017.09.10 19:53:06.939   Stuff found, idx:27
2017.09.10 19:53:07.261   Player found, idx:3
2017.09.10 19:53:07.262   Stuff found, idx:27
2017.09.10 19:53:07.628   Player found, idx:3
2017.09.10 19:53:07.628   Stuff found, idx:27
2017.09.10 19:53:08.011   Player found, idx:3
2017.09.10 19:53:08.012   Stuff found, idx:27
2017.09.10 19:53:08.378   Player found, idx:3
2017.09.10 19:53:08.379   Stuff found, idx:27
2017.09.10 19:53:08.747   Player found, idx:3
2017.09.10 19:53:08.748   Stuff found, idx:27
2017.09.10 19:53:09.128   Player found, idx:3
2017.09.10 19:53:09.128   Stuff found, idx:27
2017.09.10 19:53:09.494   Player found, idx:3
2017.09.10 19:53:09.495   Stuff found, idx:27
2017.09.10 19:53:09.878   Player found, idx:3
2017.09.10 19:53:09.878   Stuff found, idx:27
2017.09.10 19:53:10.259   Player found, idx:3
2017.09.10 19:53:10.259   Stuff found, idx:27
2017.09.10 19:53:10.344   Stuff found, idx:27
2017.09.10 19:53:10.628   Player found, idx:3
2017.09.10 19:53:10.628   Stuff found, idx:27
2017.09.10 19:53:10.728   Stuff found, idx:27
2017.09.10 19:53:11.011   Player found, idx:3
2017.09.10 19:53:11.011   Stuff found, idx:27
2017.09.10 19:53:11.095   Stuff found, idx:27
2017.09.10 19:53:11.379   Player found, idx:3
2017.09.10 19:53:11.379   Stuff found, idx:27
2017.09.10 19:53:11.478   Stuff found, idx:27
2017.09.10 19:53:11.762   Player found, idx:3
2017.09.10 19:53:11.763   Stuff found, idx:27
2017.09.10 19:53:11.842   Stuff found, idx:27
2017.09.10 19:53:12.127   Player found, idx:3
2017.09.10 19:53:12.128   Stuff found, idx:27
2017.09.10 19:53:12.228   Stuff found, idx:27
2017.09.10 19:53:12.509   Player found, idx:3
2017.09.10 19:53:12.509   Stuff found, idx:27
2017.09.10 19:53:12.595   Stuff found, idx:27
2017.09.10 19:53:12.878   Player found, idx:3
2017.09.10 19:53:12.879   Stuff found, idx:27
2017.09.10 19:53:12.975   Stuff found, idx:27
2017.09.10 19:53:13.261   Player found, idx:3
2017.09.10 19:53:13.262   Stuff found, idx:27
2017.09.10 19:53:13.345   Stuff found, idx:27
2017.09.10 19:53:13.628   Player found, idx:3
2017.09.10 19:53:13.628   Stuff found, idx:27
2017.09.10 19:53:13.728   Stuff found, idx:27
2017.09.10 19:53:14.011   Player found, idx:3
2017.09.10 19:53:14.012   Stuff found, idx:27
2017.09.10 19:53:14.094   Stuff found, idx:27
2017.09.10 19:53:14.380   Player found, idx:3
2017.09.10 19:53:14.380   Stuff found, idx:27
2017.09.10 19:53:14.478   Stuff found, idx:27
2017.09.10 19:53:14.761   Player found, idx:3
2017.09.10 19:53:14.761   Stuff found, idx:27
2017.09.10 19:53:14.845   Stuff found, idx:27
2017.09.10 19:53:15.128   Player found, idx:3
2017.09.10 19:53:15.128   Stuff found, idx:27
2017.09.10 19:53:15.228   Player found, idx:1
2017.09.10 19:53:15.229   Stuff found, idx:27
2017.09.10 19:53:15.511   Player found, idx:3
2017.09.10 19:53:15.512   Stuff found, idx:27
2017.09.10 19:53:15.595   Player found, idx:1
2017.09.10 19:53:15.595   Stuff found, idx:27
2017.09.10 19:53:15.878   Player found, idx:3
2017.09.10 19:53:15.879   Stuff found, idx:27
2017.09.10 19:53:15.979   Player found, idx:1
2017.09.10 19:53:15.980   Stuff found, idx:27
2017.09.10 19:53:16.262   Player found, idx:3
2017.09.10 19:53:16.262   Stuff found, idx:27
2017.09.10 19:53:16.481   Player found, idx:1
2017.09.10 19:53:16.482   Stuff found, idx:27
2017.09.10 19:53:16.728   Player found, idx:3
2017.09.10 19:53:16.729   Stuff found, idx:27
2017.09.10 19:53:16.812   Player found, idx:1
2017.09.10 19:53:16.812   Stuff found, idx:27
2017.09.10 19:53:17.095   Player found, idx:3
2017.09.10 19:53:17.095   Stuff found, idx:27
2017.09.10 19:53:17.192   Player found, idx:1
2017.09.10 19:53:17.193   Stuff found, idx:27
2017.09.10 19:53:17.478   Player found, idx:3
2017.09.10 19:53:17.479   Stuff found, idx:27
2017.09.10 19:53:17.562   Player found, idx:1
2017.09.10 19:53:17.562   Stuff found, idx:27
2017.09.10 19:53:17.845   Player found, idx:3
2017.09.10 19:53:17.845   Stuff found, idx:27
2017.09.10 19:53:17.945   Player found, idx:1
2017.09.10 19:53:17.945   Stuff found, idx:27
2017.09.10 19:53:18.228   Player found, idx:3
2017.09.10 19:53:18.229   Stuff found, idx:27
2017.09.10 19:53:18.308   Player found, idx:1
2017.09.10 19:53:18.309   Stuff found, idx:27
2017.09.10 19:53:18.596   Player found, idx:3
2017.09.10 19:53:18.597   Stuff found, idx:27
2017.09.10 19:53:18.695   Player found, idx:1
2017.09.10 19:53:18.695   Stuff found, idx:27
2017.09.10 19:53:18.978   Player found, idx:3
2017.09.10 19:53:18.979   Stuff found, idx:27
2017.09.10 19:53:19.061   Player found, idx:1
2017.09.10 19:53:19.062   Stuff found, idx:27
2017.09.10 19:53:19.344   Player found, idx:3
2017.09.10 19:53:19.345   Stuff found, idx:27
2017.09.10 19:53:19.445   Player found, idx:1
2017.09.10 19:53:19.446   Stuff found, idx:27
2017.09.10 19:53:19.728   Player found, idx:3
2017.09.10 19:53:19.729   Stuff found, idx:27
2017.09.10 19:53:19.811   Player found, idx:1
2017.09.10 19:53:19.812   Stuff found, idx:27
